alert,real_ttps,possible_ttps,scenario,step,alert_path,timestamp,level,description,rule_id,fired_times,groups,agent,manager,alert_id,full_log,data
"{""timestamp"": ""2025-09-17T13:43:03.232+0000"", ""rule"": {""level"": 6, ""description"": ""Processes running for all users were queried with ps command."", ""id"": ""92604"", ""firedtimes"": 2, ""mail"": false, ""groups"": [""audit_detections""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758116583.11712992"", ""full_log"": ""type=SYSCALL msg=audit(1758116580.532:8152): arch=c000003e syscall=59 success=yes exit=0 a0=557bb12f5538 a1=557bb12f5478 a2=557bb12f5490 a3=8 items=3 ppid=7840 pid=7844 auid=4294967295 uid=33 gid=33 euid=33 suid=33 fsuid=33 egid=33 sgid=33 fsgid=33 tty=pts0 ses=4294967295 comm=\""ps\"" exe=\""/usr/bin/ps\"" subj==unconfined key=\""T1166_Seuid_and_Setgid\""\u001dARCH=x86_64 SYSCALL=execve AUID=\""unset\"" UID=\""www-data\"" GID=\""www-data\"" EUID=\""www-data\"" SUID=\""www-data\"" FSUID=\""www-data\"" EGID=\""www-data\"" SGID=\""www-data\"" FSGID=\""www-data\"" type=EXECVE msg=audit(1758116580.532:8152): argc=2 a0=\""ps\"" a1=\""fauxwww\"" type=PATH msg=audit(1758116580.532:8152): item=0 name=\""/usr/bin/ps\"" inode=17887 dev=fe:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0\u001dOUID=\""root\"" OGID=\""root\"" type=PATH msg=audit(1758116580.532:8152): item=1 name=\""/usr/bin/ps\"" inode=17887 dev=fe:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0\u001dOUID=\""root\"" OGID=\""root\"" type=PATH msg=audit(1758116580.532:8152): item=2 name=\""/lib64/ld-linux-x86-64.so.2\"" inode=1964 dev=fe:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0\u001dOUID=\""root\"" OGID=\""root\"" type=PROCTITLE msg=audit(1758116580.532:8152): proctitle=70730066617578777777"", ""decoder"": {""parent"": ""auditd"", ""name"": ""auditd""}, ""data"": {""audit"": {""type"": ""SYSCALL"", ""id"": ""8152"", ""arch"": ""c000003e"", ""syscall"": ""59"", ""success"": ""yes"", ""exit"": ""0"", ""ppid"": ""7840"", ""pid"": ""7844"", ""auid"": ""4294967295"", ""uid"": ""33"", ""gid"": ""33"", ""euid"": ""33"", ""suid"": ""33"", ""fsuid"": ""33"", ""egid"": ""33"", ""sgid"": ""33"", ""fsgid"": ""33"", ""tty"": ""pts0"", ""session"": ""4294967295"", ""command"": ""ps"", ""exe"": ""/usr/bin/ps"", ""key"": ""T1166_Seuid_and_Setgid"", ""execve"": {""a0"": ""ps"", ""a1"": ""fauxwww""}, ""file"": {""name"": ""/usr/bin/ps"", ""inode"": ""17887"", ""mode"": ""0100755""}}}, ""location"": ""/var/log/audit/audit.log""}",['T1057'],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']",1_pwnkit_sshkey,13,data/manifestations_raw\steps\1_pwnkit_sshkey-13\wazuh/logs/alerts/alerts.json,2025-09-17 13:43:03.232000+00:00,6,Processes running for all users were queried with ps command.,92604,2,['audit_detections'],"{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758116583.11713,"type=SYSCALL msg=audit(1758116580.532:8152): arch=c000003e syscall=59 success=yes exit=0 a0=557bb12f5538 a1=557bb12f5478 a2=557bb12f5490 a3=8 items=3 ppid=7840 pid=7844 auid=4294967295 uid=33 gid=33 euid=33 suid=33 fsuid=33 egid=33 sgid=33 fsgid=33 tty=pts0 ses=4294967295 comm=""ps"" exe=""/usr/bin/ps"" subj==unconfined key=""T1166_Seuid_and_Setgid""ARCH=x86_64 SYSCALL=execve AUID=""unset"" UID=""www-data"" GID=""www-data"" EUID=""www-data"" SUID=""www-data"" FSUID=""www-data"" EGID=""www-data"" SGID=""www-data"" FSGID=""www-data"" type=EXECVE msg=audit(1758116580.532:8152): argc=2 a0=""ps"" a1=""fauxwww"" type=PATH msg=audit(1758116580.532:8152): item=0 name=""/usr/bin/ps"" inode=17887 dev=fe:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root"" type=PATH msg=audit(1758116580.532:8152): item=1 name=""/usr/bin/ps"" inode=17887 dev=fe:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root"" type=PATH msg=audit(1758116580.532:8152): item=2 name=""/lib64/ld-linux-x86-64.so.2"" inode=1964 dev=fe:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root"" type=PROCTITLE msg=audit(1758116580.532:8152): proctitle=70730066617578777777","{'audit': {'type': 'SYSCALL', 'id': '8152', 'arch': 'c000003e', 'syscall': '59', 'success': 'yes', 'exit': '0', 'ppid': '7840', 'pid': '7844', 'auid': '4294967295', 'uid': '33', 'gid': '33', 'euid': '33', 'suid': '33', 'fsuid': '33', 'egid': '33', 'sgid': '33', 'fsgid': '33', 'tty': 'pts0', 'session': '4294967295', 'command': 'ps', 'exe': '/usr/bin/ps', 'key': 'T1166_Seuid_and_Setgid', 'execve': {'a0': 'ps', 'a1': 'fauxwww'}, 'file': {'name': '/usr/bin/ps', 'inode': '17887', 'mode': '0100755'}}}"
"{""timestamp"": ""2025-09-17T13:43:03.955+0000"", ""rule"": {""level"": 9, ""description"": ""Agent event queue is full. Events may be lost."", ""id"": ""203"", ""firedtimes"": 7, ""mail"": false, ""groups"": [""wazuh"", ""agent_flooding""], ""pci_dss"": [""10.6.1""], ""gdpr"": [""IV_35.7.d""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758116583.11715060"", ""full_log"": ""wazuh: Agent buffer: 'full'."", ""decoder"": {""parent"": ""wazuh"", ""name"": ""wazuh""}, ""data"": {""level"": ""full""}, ""location"": ""wazuh-agent""}",[],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']",1_pwnkit_sshkey,13,data/manifestations_raw\steps\1_pwnkit_sshkey-13\wazuh/logs/alerts/alerts.json,2025-09-17 13:43:03.955000+00:00,9,Agent event queue is full. Events may be lost.,203,7,"['wazuh', 'agent_flooding']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758116583.1171503,wazuh: Agent buffer: 'full'.,{'level': 'full'}
"{""timestamp"": ""2025-09-17T13:43:05.574+0000"", ""rule"": {""level"": 9, ""description"": ""Agent event queue is full. Events may be lost."", ""id"": ""203"", ""firedtimes"": 8, ""mail"": false, ""groups"": [""wazuh"", ""agent_flooding""], ""pci_dss"": [""10.6.1""], ""gdpr"": [""IV_35.7.d""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758116585.11715310"", ""full_log"": ""wazuh: Agent buffer: 'full'."", ""decoder"": {""parent"": ""wazuh"", ""name"": ""wazuh""}, ""data"": {""level"": ""full""}, ""location"": ""wazuh-agent""}",[],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']",1_pwnkit_sshkey,13,data/manifestations_raw\steps\1_pwnkit_sshkey-13\wazuh/logs/alerts/alerts.json,2025-09-17 13:43:05.574000+00:00,9,Agent event queue is full. Events may be lost.,203,8,"['wazuh', 'agent_flooding']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758116585.1171532,wazuh: Agent buffer: 'full'.,{'level': 'full'}
"{""timestamp"": ""2025-09-17T13:43:20.950+0000"", ""rule"": {""level"": 9, ""description"": ""Agent event queue is full. Events may be lost."", ""id"": ""203"", ""firedtimes"": 13, ""mail"": false, ""groups"": [""wazuh"", ""agent_flooding""], ""pci_dss"": [""10.6.1""], ""gdpr"": [""IV_35.7.d""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758116600.11722756"", ""full_log"": ""wazuh: Agent buffer: 'full'."", ""decoder"": {""parent"": ""wazuh"", ""name"": ""wazuh""}, ""data"": {""level"": ""full""}, ""location"": ""wazuh-agent""}",[],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']",1_pwnkit_sshkey,13,data/manifestations_raw\steps\1_pwnkit_sshkey-13\wazuh/logs/alerts/alerts.json,2025-09-17 13:43:20.950000+00:00,9,Agent event queue is full. Events may be lost.,203,13,"['wazuh', 'agent_flooding']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758116600.1172276,wazuh: Agent buffer: 'full'.,{'level': 'full'}
"{""timestamp"": ""2025-09-17T13:43:22.990+0000"", ""rule"": {""level"": 9, ""description"": ""Agent event queue is full. Events may be lost."", ""id"": ""203"", ""firedtimes"": 14, ""mail"": false, ""groups"": [""wazuh"", ""agent_flooding""], ""pci_dss"": [""10.6.1""], ""gdpr"": [""IV_35.7.d""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758116602.11723006"", ""full_log"": ""wazuh: Agent buffer: 'full'."", ""decoder"": {""parent"": ""wazuh"", ""name"": ""wazuh""}, ""data"": {""level"": ""full""}, ""location"": ""wazuh-agent""}",[],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']",1_pwnkit_sshkey,13,data/manifestations_raw\steps\1_pwnkit_sshkey-13\wazuh/logs/alerts/alerts.json,2025-09-17 13:43:22.990000+00:00,9,Agent event queue is full. Events may be lost.,203,14,"['wazuh', 'agent_flooding']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758116602.11723,wazuh: Agent buffer: 'full'.,{'level': 'full'}
"{""timestamp"": ""2025-09-17T13:43:26.221+0000"", ""rule"": {""level"": 3, ""description"": ""Agent event queue is back to normal load."", ""id"": ""205"", ""firedtimes"": 4, ""mail"": false, ""groups"": [""wazuh"", ""agent_flooding""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758116606.11723256"", ""full_log"": ""wazuh: Agent buffer: 'normal'."", ""decoder"": {""parent"": ""wazuh"", ""name"": ""wazuh""}, ""data"": {""level"": ""normal""}, ""location"": ""wazuh-agent""}",[],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']",1_pwnkit_sshkey,13,data/manifestations_raw\steps\1_pwnkit_sshkey-13\wazuh/logs/alerts/alerts.json,2025-09-17 13:43:26.221000+00:00,3,Agent event queue is back to normal load.,205,4,"['wazuh', 'agent_flooding']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758116606.1172323,wazuh: Agent buffer: 'normal'.,{'level': 'normal'}
"{""timestamp"": ""2025-09-17T13:47:31.924+0000"", ""rule"": {""level"": 3, ""description"": ""Suricata: Alert - ET SCAN Web Scanner - Fuzz Faster U Fool (Inbound)"", ""id"": ""86601"", ""firedtimes"": 1125, ""mail"": false, ""groups"": [""ids"", ""suricata""]}, ""agent"": {""id"": ""001"", ""name"": ""inetfw"", ""ip"": ""192.168.100.254""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758116851.11723475"", ""decoder"": {""name"": ""json""}, ""data"": {""timestamp"": ""2025-09-17T13:47:30.619804+0000"", ""flow_id"": ""1141313363335213.000000"", ""in_iface"": ""ens5"", ""event_type"": ""alert"", ""src_ip"": ""192.42.1.174"", ""src_port"": ""52008"", ""dest_ip"": ""172.17.100.121"", ""dest_port"": ""80"", ""proto"": ""TCP"", ""metadata"": {""flowints"": {""http"": {""anomaly"": {""count"": ""4""}}}}, ""community_id"": ""1:yzckbK2kCBlL9QoaukufvInesBc="", ""tx_id"": ""19"", ""alert"": {""action"": ""allowed"", ""gid"": ""1"", ""signature_id"": ""2037838"", ""rev"": ""1"", ""signature"": ""ET SCAN Web Scanner - Fuzz Faster U Fool (Inbound)"", ""category"": ""access to a potentially vulnerable web application"", ""severity"": ""2"", ""metadata"": {""affected_product"": [""Web_Server_Applications""], ""attack_target"": [""Web_Server""], ""confidence"": [""High""], ""created_at"": [""2022_07_28""], ""deployment"": [""SSLDecrypt"", ""Perimeter""], ""performance_impact"": [""Low""], ""signature_severity"": [""Informational""], ""tag"": [""Description_Generated_By_Proofpoint_Nexus""], ""updated_at"": [""2022_07_28""]}}, ""http"": {""hostname"": ""video.attackbed.com"", ""url"": ""/range"", ""http_user_agent"": ""Fuzz Faster U Fool v2.1.0-dev"", ""http_method"": ""GET"", ""protocol"": ""HTTP/1.1"", ""length"": ""0""}, ""app_proto"": ""http"", ""flow"": {""pkts_toserver"": ""18"", ""pkts_toclient"": ""23"", ""bytes_toserver"": ""3093"", ""bytes_toclient"": ""7664"", ""start"": ""2025-09-17T13:37:29.546861+0000""}}, ""location"": ""/var/log/suricata/eve.json""}",[],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']",1_pwnkit_sshkey,13,data/manifestations_raw\steps\1_pwnkit_sshkey-13\wazuh/logs/alerts/alerts.json,2025-09-17 13:47:31.924000+00:00,3,Suricata: Alert - ET SCAN Web Scanner - Fuzz Faster U Fool (Inbound),86601,1125,"['ids', 'suricata']","{'id': '001', 'name': 'inetfw', 'ip': '192.168.100.254'}",{'name': 'wazuh'},1758116851.1172347,,"{'timestamp': '2025-09-17T13:47:30.619804+0000', 'flow_id': '1141313363335213.000000', 'in_iface': 'ens5', 'event_type': 'alert', 'src_ip': '192.42.1.174', 'src_port': '52008', 'dest_ip': '172.17.100.121', 'dest_port': '80', 'proto': 'TCP', 'metadata': {'flowints': {'http': {'anomaly': {'count': '4'}}}}, 'community_id': '1:yzckbK2kCBlL9QoaukufvInesBc=', 'tx_id': '19', 'alert': {'action': 'allowed', 'gid': '1', 'signature_id': '2037838', 'rev': '1', 'signature': 'ET SCAN Web Scanner - Fuzz Faster U Fool (Inbound)', 'category': 'access to a potentially vulnerable web application', 'severity': '2', 'metadata': {'affected_product': ['Web_Server_Applications'], 'attack_target': ['Web_Server'], 'confidence': ['High'], 'created_at': ['2022_07_28'], 'deployment': ['SSLDecrypt', 'Perimeter'], 'performance_impact': ['Low'], 'signature_severity': ['Informational'], 'tag': ['Description_Generated_By_Proofpoint_Nexus'], 'updated_at': ['2022_07_28']}}, 'http': {'hostname': 'video.attackbed.com', 'url': '/range', 'http_user_agent': 'Fuzz Faster U Fool v2.1.0-dev', 'http_method': 'GET', 'protocol': 'HTTP/1.1', 'length': '0'}, 'app_proto': 'http', 'flow': {'pkts_toserver': '18', 'pkts_toclient': '23', 'bytes_toserver': '3093', 'bytes_toclient': '7664', 'start': '2025-09-17T13:37:29.546861+0000'}}"
"{""timestamp"": ""2025-09-17T13:47:31.939+0000"", ""rule"": {""level"": 6, ""description"": ""IDS event."", ""id"": ""20101"", ""firedtimes"": 1143, ""mail"": false, ""groups"": [""ids""]}, ""agent"": {""id"": ""001"", ""name"": ""inetfw"", ""ip"": ""192.168.100.254""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758116851.11726135"", ""full_log"": ""09/17/2025-13:47:30.619804  [**] [1:2037838:1] ET SCAN Web Scanner - Fuzz Faster U Fool (Inbound) [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 192.42.1.174:52008 -> 172.17.100.121:80"", ""predecoder"": {""timestamp"": ""09/17/2025-13:47:30.619804""}, ""decoder"": {""parent"": ""snort"", ""name"": ""snort""}, ""data"": {""srcip"": ""192.42.1.174"", ""dstip"": ""172.17.100.121:80"", ""id"": ""1:2037838:1""}, ""location"": ""/var/log/suricata/fast.log""}",[],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']",1_pwnkit_sshkey,13,data/manifestations_raw\steps\1_pwnkit_sshkey-13\wazuh/logs/alerts/alerts.json,2025-09-17 13:47:31.939000+00:00,6,IDS event.,20101,1143,['ids'],"{'id': '001', 'name': 'inetfw', 'ip': '192.168.100.254'}",{'name': 'wazuh'},1758116851.1172612,09/17/2025-13:47:30.619804  [**] [1:2037838:1] ET SCAN Web Scanner - Fuzz Faster U Fool (Inbound) [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 192.42.1.174:52008 -> 172.17.100.121:80,"{'srcip': '192.42.1.174', 'dstip': '172.17.100.121:80', 'id': '1:2037838:1'}"
"{""timestamp"": ""2025-09-17T13:48:20.424+0000"", ""rule"": {""level"": 3, ""description"": ""Log file rotated."", ""id"": ""591"", ""firedtimes"": 1, ""mail"": false, ""groups"": [""ossec""], ""pci_dss"": [""10.5.2"", ""10.5.5""], ""gpg13"": [""10.1""], ""gdpr"": [""II_5.1.f"", ""IV_35.7.d""], ""hipaa"": [""164.312.b""], ""nist_800_53"": [""AU.9""], ""tsc"": [""CC6.1"", ""CC7.2"", ""CC7.3"", ""PI1.4"", ""PI1.5"", ""CC7.1"", ""CC8.1""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758116900.11726552"", ""full_log"": ""ossec: File rotated (inode changed): '/var/www/default/log/access.log'."", ""decoder"": {""name"": ""ossec""}, ""location"": ""logcollector""}",[],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']",1_pwnkit_sshkey,13,data/manifestations_raw\steps\1_pwnkit_sshkey-13\wazuh/logs/alerts/alerts.json,2025-09-17 13:48:20.424000+00:00,3,Log file rotated.,591,1,['ossec'],"{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758116900.1172657,ossec: File rotated (inode changed): '/var/www/default/log/access.log'.,{}
"{""timestamp"": ""2025-09-17T13:48:20.425+0000"", ""rule"": {""level"": 3, ""description"": ""Log file rotated."", ""id"": ""591"", ""firedtimes"": 2, ""mail"": false, ""groups"": [""ossec""], ""pci_dss"": [""10.5.2"", ""10.5.5""], ""gpg13"": [""10.1""], ""gdpr"": [""II_5.1.f"", ""IV_35.7.d""], ""hipaa"": [""164.312.b""], ""nist_800_53"": [""AU.9""], ""tsc"": [""CC6.1"", ""CC7.2"", ""CC7.3"", ""PI1.4"", ""PI1.5"", ""CC7.1"", ""CC8.1""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758116900.11726933"", ""full_log"": ""ossec: File rotated (inode changed): '/var/www/default/log/error.log'."", ""decoder"": {""name"": ""ossec""}, ""location"": ""logcollector""}",[],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']",1_pwnkit_sshkey,13,data/manifestations_raw\steps\1_pwnkit_sshkey-13\wazuh/logs/alerts/alerts.json,2025-09-17 13:48:20.425000+00:00,3,Log file rotated.,591,2,['ossec'],"{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758116900.1172693,ossec: File rotated (inode changed): '/var/www/default/log/error.log'.,{}
